order_id,request_time,origin_warehouse,destination_region,distance_km,estimated_time_min,priority_level
# 심야 시간대 (0-5시): 비교적 원활
ORD0001,2023-01-01 00:00:00,경기_광명물류,송파구,35.8,42.0,1
ORD0002,2023-01-01 01:00:00,경기_판교물류,해운대구,452.3,315.0,2
ORD0003,2023-01-01 02:00:00,서울_강남물류,해운대구,485.8,325.0,2
ORD0004,2023-01-01 03:00:00,경기_광명물류,남구,28.7,32.0,2
ORD0005,2023-01-01 04:00:00,경기_광명물류,해운대구,425.5,290.0,3

# 출근 시간대 (7-9시): 극심한 정체
ORD0007,2023-01-01 07:00:00,서울_강남물류,남구,42.8,95.0,2  # 실제 15km 구간
ORD0008,2023-01-01 08:00:00,경기_광명물류,중구,58.5,115.0,3  # 실제 25km 구간
ORD0009,2023-01-01 09:00:00,인천_송도물류,송파구,98.4,145.0,2  # 실제 45km 구간

# 주간 시간대 (10-16시): 보통 정체
ORD0010,2023-01-01 10:00:00,경기_광명물류,수성구,385.6,320.0,2  # 실제 270km 구간
ORD0011,2023-01-01 11:00:00,경기_광명물류,송파구,45.5,65.0,1  # 실제 25km 구간
ORD0012,2023-01-01 12:00:00,경기_광명물류,수성구,325.7,235.0,1
ORD0013,2023-01-01 13:00:00,경기_광명물류,중구,35.8,42.0,3
ORD0014,2023-01-01 14:00:00,경기_판교물류,송파구,15.6,25.0,3
ORD0015,2023-01-01 15:00:00,경기_판교물류,송파구,15.6,25.0,3
ORD0016,2023-01-01 16:00:00,서울_강남물류,남구,25.7,35.0,2
ORD0017,2023-01-01 17:00:00,경기_판교물류,강남구,18.9,28.0,2
ORD0018,2023-01-01 18:00:00,경기_판교물류,중구,28.5,48.0,1
ORD0019,2023-01-01 19:00:00,경기_판교물류,수성구,312.4,245.0,1
ORD0020,2023-01-01 20:00:00,경기_광명물류,부평구,45.8,65.0,2
ORD0021,2023-01-01 21:00:00,인천_송도물류,수성구,328.5,255.0,2
ORD0022,2023-01-01 22:00:00,서울_강남물류,부평구,52.4,75.0,3
ORD0023,2023-01-01 23:00:00,인천_송도물류,해운대구,458.6,315.0,2
ORD0024,2023-01-01 23:00:00,경기_판교물류,송파구,12.8,20.0,2
ORD0025,2023-01-02 00:00:00,경기_판교물류,부평구,58.5,70.0,3
ORD0026,2023-01-02 01:00:00,인천_송도물류,수성구,335.4,245.0,3
ORD0027,2023-01-02 02:00:00,인천_송도물류,해운대구,465.2,325.0,2
ORD0028,2023-01-02 03:00:00,인천_송도물류,강남구,68.4,85.0,2
ORD0029,2023-01-02 04:00:00,경기_판교물류,남구,25.6,35.0,2
ORD0030,2023-01-02 05:00:00,경기_판교물류,남구,28.4,38.0,2
ORD0031,2023-01-02 06:00:00,서울_강남물류,남구,24.5,45.0,2
ORD0032,2023-01-02 07:00:00,서울_강남물류,부평구,55.8,85.0,3
ORD0033,2023-01-02 08:00:00,경기_판교물류,강남구,22.5,42.0,1
ORD0034,2023-01-02 09:00:00,인천_송도물류,부평구,18.4,35.0,1
ORD0035,2023-01-02 10:00:00,인천_송도물류,송파구,72.5,95.0,1
ORD0036,2023-01-02 11:00:00,서울_강남물류,부평구,58.6,75.0,1
ORD0037,2023-01-02 12:00:00,경기_판교물류,강남구,19.5,28.0,3
ORD0038,2023-01-02 13:00:00,서울_강남물류,강남구,12.4,22.0,3
ORD0039,2023-01-02 14:00:00,서울_강남물류,송파구,15.6,25.0,2
ORD0040,2023-01-02 15:00:00,경기_광명물류,강남구,35.4,45.0,1
ORD0041,2023-01-02 16:00:00,경기_광명물류,수성구,342.5,285.0,2
ORD0042,2023-01-02 17:00:00,경기_광명물류,강남구,38.6,65.0,2
ORD0043,2023-01-03 10:00:00,인천_송도물류,남구,85.5,125.0,1  # 실제 55km 구간
ORD0044,2023-01-03 11:00:00,경기_판교물류,수성구,425.6,365.0,2  # 실제 285km 구간
ORD0045,2023-01-03 12:00:00,경기_판교물류,수성구,418.4,355.0,2  # 실제 280km 구간
ORD0046,2023-01-03 13:00:00,경기_판교물류,송파구,25.8,45.0,2  # 실제 15km 구간
ORD0047,2023-01-03 14:00:00,경기_판교물류,서구,82.5,125.0,2  # 실제 50km 구간
ORD0048,2023-01-03 15:00:00,경기_광명물류,서구,68.6,95.0,1  # 실제 42km 구간
ORD0049,2023-01-03 17:00:00,인천_송도물류,강남구,105.4,165.0,2  # 실제 45km 구간
ORD0050,2023-01-03 18:00:00,인천_송도물류,수성구,485.8,425.0,2  # 실제 290km 구간
ORD0051,2023-01-03 19:00:00,경기_광명물류,서구,85.7,142.0,2  # 실제 38km 구간
ORD0052,2023-01-03 20:00:00,인천_송도물류,서구,68.5,125.0,3  # 실제 32km 구간
ORD0053,2023-01-03 21:00:00,경기_광명물류,강남구,52.8,75.0,2  # 실제 42km 구간
ORD0054,2023-01-03 22:00:00,경기_판교물류,서구,75.6,105.0,1  # 실제 62km 구간
ORD0055,2023-01-03 23:00:00,경기_광명물류,부평구,62.4,85.0,1  # 실제 52km 구간
ORD0056,2023-01-04 00:00:00,경기_판교물류,해운대구,452.5,315.0,2  # 실제 420km 구간
ORD0057,2023-01-04 01:00:00,경기_판교물류,송파구,22.6,32.0,1  # 실제 18km 구간
ORD0058,2023-01-04 02:00:00,서울_강남물류,해운대구,478.5,345.0,2  # 실제 445km 구간
ORD0059,2023-01-04 07:00:00,경기_광명물류,강남구,75.8,135.0,3  # 실제 35km 구간
ORD0060,2023-01-04 08:00:00,서울_강남물류,남구,58.6,115.0,2  # 실제 25km 구간
ORD0061,2023-01-04 09:00:00,경기_광명물류,수성구,42.5,58.0,2
ORD0062,2023-01-04 10:00:00,경기_광명물류,강남구,38.7,52.0,2
ORD0063,2023-01-04 11:00:00,서울_강남물류,수성구,338.5,265.0,2
ORD0064,2023-01-04 12:00:00,서울_강남물류,남구,25.6,38.0,2
ORD0065,2023-01-04 13:00:00,경기_광명물류,해운대구,435.8,325.0,3
ORD0066,2023-01-04 14:00:00,인천_송도물류,강남구,72.5,95.0,2
ORD0067,2023-01-04 15:00:00,경기_판교물류,수성구,328.4,275.0,3
ORD0068,2023-01-04 16:00:00,서울_강남물류,송파구,18.5,35.0,3
ORD0069,2023-01-04 17:00:00,경기_판교물류,송파구,15.8,28.0,1
ORD0070,2023-01-04 18:00:00,인천_송도물류,중구,65.4,85.0,1
ORD0071,2023-01-04 19:00:00,인천_송도물류,수성구,342.6,285.0,1
ORD0072,2023-01-04 20:00:00,인천_송도물류,부평구,22.5,35.0,1
ORD0073,2023-01-05 00:00:00,서울_강남물류,서구,58.4,75.0,1
ORD0074,2023-01-05 01:00:00,인천_송도물류,남구,68.5,88.0,2
ORD0075,2023-01-05 02:00:00,서울_강남물류,수성구,345.6,285.0,1
